id,model,make,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
6358442,Fortuner,Toyota,2010,82500,Automatic,48900.0,2694,7,Black,160.0,241.0,65.0,13376.055
6316055,Avanza,Toyota,2009,82500,Automatic,21900.0,1495,7,Silver,109.0,141.0,45.0,11417.859
6082601,Serena,Nissan,2014,62500,Automatic,65990.0,1997,8,Silver,147.0,210.0,60.0,15434.64675
6455438,Axia,Perodua,2016,52500,Automatic,23800.0,998,5,Blue,67.0,90.0,33.0,8904.168
6603744,718,Porsche,2016,2500,Automatic,489800.0,2497,2,Silver,349.0,420.0,64.0,10094.82112
6607899,Kelisa,Perodua,2004,132500,Automatic,9800.0,989,5,Maroon,55.0,88.0,40.0,7436.143
6603768,325i,BMW,2010,57500,Automatic,63800.0,2497,5,Black,222.0,250.0,63.0,11698.847167
6603670,718,Porsche,2016,2500,Automatic,489800.0,2497,2,Silver,349.0,420.0,64.0,10094.82112
6358712,Vios,Toyota,2013,57500,Automatic,45000.0,1497,5,White,109.0,141.0,42.0,10672.6
6604545,Wira,Proton,1996,123456,Manual,13999.0,1834,5,Blue,140.0,164.0,50.0,9994.5755
6607836,Outlander,Mitsubishi,2017,32500,Automatic,99800.0,2360,7,Red,167.0,222.0,60.0,14276.556
6269875,Polo,Volkswagen,2015,67500,Automatic,31800.0,1598,5,Silver,105.0,153.0,55.0,10919.377856
6472149,X3,BMW,2013,72500,Automatic,93800.0,1997,5,Black,184.0,270.0,67.0,14644.3374
6534466,330e,BMW,2016,77500,Automatic,125800.0,1998,5,Black,184.0,290.0,60.0,11989.828727
6603219,Hiace,Toyota,2008,2500,Manual,45000.0,2694,11,White,151.0,241.0,70.0,7084.52025
6607194,E250,Mercedes-Benz,2016,52500,Automatic,235000.0,1991,5,Red,211.0,350.0,66.0,13384.337328
6607819,City,Honda,2015,62500,Automatic,54888.0,1497,5,Red,120.0,145.0,40.0,11115.6066
6607807,Range Rover Evoque,Land Rover,2012,50000,Automatic,138800.0,1999,5,Black,241.0,340.0,70.0,14023.762875
6575919,Satria,Proton,2013,70000,Manual,31800.0,1597,5,Black,126.0,150.0,50.0,9754.08234
6588418,Polo,Volkswagen,2013,28000,Automatic,30800.0,1598,5,White,105.0,153.0,55.0,10919.377856
6587887,328i,BMW,2012,82877,Automatic,96800.0,1997,5,Black,245.0,350.0,60.0,11966.537456
6590232,Vios,Toyota,2013,97500,Automatic,39800.0,1497,5,Silver,109.0,141.0,42.0,10672.6
6607328,Almera,Nissan,2015,42500,Automatic,34900.0,1498,5,Black,102.0,139.0,41.0,11250.5625
6555162,Camry,Toyota,2008,72500,Automatic,34800.0,1998,5,Silver,147.0,190.0,70.0,12908.805
6607738,X-Trail,Nissan,2016,62500,Automatic,73900.0,1997,7,Silver,144.0,200.0,60.0,14482.832
6572604,Preve,Proton,2013,92500,Automatic,23800.0,1561,5,Black,140.0,205.0,50.0,12365.428152
6599213,Vios,Toyota,2010,97500,Automatic,34800.0,1497,5,White,109.0,141.0,42.0,10672.6
6600727,Civic,Honda,2011,102500,Automatic,58800.0,1998,5,White,155.0,188.0,50.0,11175.0625
6598870,Avanza,Toyota,2005,162500,Manual,12800.0,1298,7,Blue,88.0,120.0,45.0,11211.629
6566493,Viva,Perodua,2010,102500,Automatic,12888.0,989,5,White,61.0,90.0,36.0,8067.88125
6502017,Beetle,Volkswagen,2013,57500,Automatic,65800.0,1390,4,White,160.0,240.0,55.0,11493.651264
6468021,Saga,Proton,2015,67500,Automatic,17900.0,1332,5,Bronze,95.0,120.0,40.0,10924.3008
6601594,Exora,Proton,2011,100,Automatic,21500.0,1597,7,Silver,126.0,150.0,55.0,14047.015248
6474264,Myvi,Perodua,2013,67500,Automatic,23900.0,1298,5,Silver,91.0,117.0,40.0,9492.24825
5798498,Jetta,Volkswagen,2014,42500,Automatic,48900.0,1390,5,Blue,160.0,240.0,55.0,12236.921424
6474871,3,Mazda,2014,52500,Automatic,70800.0,1998,5,White,162.0,210.0,51.0,11920.595
6603109,Almera,Nissan,2016,82500,Automatic,46800.0,1498,5,White,102.0,139.0,41.0,11250.5625
6063274,A45 AMG,Mercedes-Benz,2015,47500,Automatic,250000.0,1991,5,White,360.0,450.0,55.0,10947.77608
6373216,Saga,Proton,2011,97500,Automatic,12300.0,1332,5,Brown,95.0,120.0,40.0,10924.3008
6580273,Myvi,Perodua,2010,97500,Automatic,16800.0,1298,5,Black,87.0,116.0,40.0,9600.39
6604120,Satria,Proton,2000,252500,Manual,5500.0,1299,5,Silver,84.0,100.0,50.0,9190.86
6589941,CX-5,Mazda,2015,52500,Automatic,78800.0,2488,5,Grey,185.0,250.0,56.0,13996.604
6487832,740Le,BMW,2017,32500,Automatic,318800.0,1998,5,Black,258.0,400.0,78.0,14734.797804
6594852,Ranger,Ford,2013,117000,Manual,50800.0,2198,5,Black,150.0,375.0,80.0,17994.18225
6505478,Myvi,Perodua,2016,46311,Automatic,35000.0,1495,5,White,103.0,136.0,40.0,9632.77425
6496877,316i,BMW,2014,82500,Automatic,81900.0,1598,5,Grey,136.0,220.0,60.0,11966.537456
6518203,TT,Audi,2012,127500,Automatic,98800.0,1984,4,Blue,213.0,350.0,55.0,10404.824352
6594056,Golf,Volkswagen,2012,50000,Automatic,39800.0,1390,5,Black,160.0,240.0,55.0,11339.113968
6371085,Civic,Honda,2011,147500,Automatic,43888.0,1799,5,White,140.0,174.0,50.0,11433.6495
6592841,Avanza,Toyota,2012,92500,Automatic,35800.0,1495,7,White,103.0,136.0,45.0,11254.8
5969424,Myvi,Perodua,2011,102500,Manual,15800.0,1298,5,White,91.0,117.0,40.0,9492.24825
6529257,Corolla Altis,Toyota,2016,97500,Automatic,68500.0,1798,5,Black,140.0,173.0,55.0,11979.4752
6607302,Fortuner,Toyota,2014,72500,Automatic,79800.0,2694,7,Silver,160.0,241.0,65.0,16015.82
6563887,Harrier,Toyota,2017,22500,Automatic,155000.0,1998,5,Black,231.0,350.0,60.0,14652.93375
6558229,328i,BMW,2014,67500,Automatic,125000.0,1997,5,Blue,245.0,350.0,60.0,11966.537456
6586698,C300,Mercedes-Benz,2019,17500,Automatic,245888.0,1991,4,White,258.0,370.0,55.0,12230.55372
6607286,Vios,Toyota,2013,62500,Automatic,38800.0,1497,5,White,109.0,141.0,42.0,10672.6
6602530,508,Peugeot,2015,72500,Automatic,60666.0,1598,5,White,158.0,240.0,72.0,14800.533308
6607249,Vios,Toyota,2015,52500,Automatic,58800.0,1497,5,White,109.0,141.0,42.0,11058.075
6545932,Teana,Nissan,2011,100000,Automatic,44800.0,2496,5,Silver,182.0,228.0,70.0,12884.51
6554683,Elantra,Hyundai,2018,52500,Automatic,72800.0,1999,5,Red,152.0,192.0,55.0,11927.7
6587738,Ranger,Ford,2016,27500,Automatic,73800.0,2198,5,Grey,160.0,385.0,80.0,18101.5758
6459499,V40,Volvo,2015,87500,Automatic,79800.0,1984,5,Black,213.0,300.0,62.0,11329.157782
5524965,XF,Jaguar,2013,87500,Automatic,99800.0,2179,5,Black,200.0,450.0,70.0,15043.83562
6594257,Grand Livina,Nissan,2010,85000,Automatic,35000.0,1798,7,Grey,126.0,174.0,52.0,11876.982
6607167,Optima K5,Kia,2013,107500,Automatic,59800.0,1998,5,Grey,165.0,198.0,70.0,12965.1558
6185133,Myvi,Perodua,2016,67500,Automatic,32900.0,1495,5,Silver,103.0,136.0,40.0,9632.77425
6607105,Myvi,Perodua,2012,37500,Automatic,26800.0,1298,5,Silver,91.0,117.0,40.0,9492.24825
6589541,C180,Mercedes-Benz,2017,62500,Automatic,146888.0,1595,5,Black,158.0,250.0,66.0,12230.55372
6601615,XC90,Volvo,2017,62500,Automatic,238888.0,1969,7,Black,320.0,400.0,70.0,17213.1696
6489389,Vios,Toyota,2011,77500,Automatic,32888.0,1497,5,Blue,109.0,141.0,42.0,10672.6
6105351,E200K,Mercedes-Benz,2007,88000,Automatic,44800.0,1796,5,Silver,184.0,240.0,65.0,12746.230992
