,make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,length,width,height,fuel_tanks_litres,country
7879,Perodua,6438518,Viva,2012,72500.0,Automatic,14800.0,989.0,5.0,Silver,61.0,90.0,3575.0,1475.0,1530.0,36.0,Malaysia
7880,Suzuki,6623561,Swift,2010,87500.0,Automatic,21800.0,1490.0,5.0,Maroon,101.0,133.0,3695.0,1690.0,1690.0,43.0,Japan
7881,Mercedes-Benz,6611782,C300,2016,17500.0,Automatic,248000.0,1991.0,4.0,Black,245.0,370.0,4686.0,1810.0,1409.0,66.0,Germany
7882,BMW,6630765,523i,2011,87500.0,Automatic,49800.0,2497.0,5.0,Black,204.0,250.0,4899.0,1860.0,1464.0,70.0,Germany
7883,BMW,6645909,X6,2010,42500.0,Automatic,95888.0,2979.0,4.0,Black,306.0,400.0,4877.0,1983.0,1690.0,85.0,Germany
7884,Audi,6563156,Q7,2013,82500.0,Automatic,86000.0,2967.0,7.0,White,239.0,550.0,5086.0,1983.0,1737.0,100.0,Germany
7885,BMW,6309734,323i,2009,87500.0,Automatic,42888.0,2497.0,4.0,Black,193.0,230.0,4580.0,1817.0,1395.0,55.0,Germany
7886,BMW,6451857,X1,2015,77500.0,Automatic,88888.0,1997.0,5.0,Black,184.0,270.0,4454.0,1798.0,1545.0,63.0,Germany
7887,Toyota,6540645,Vios,2008,87500.0,Automatic,25888.0,1497.0,5.0,Black,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
7888,Toyota,6606613,Estima,2011,110120.0,Automatic,99888.0,2362.0,7.0,White,170.0,223.0,4795.0,1800.0,1745.0,65.0,Japan
7889,Honda,6590900,HR-V,2016,62000.0,Automatic,78000.0,1799.0,5.0,Grey,143.0,172.0,4294.0,1772.0,1605.0,50.0,Japan
7890,Honda,6654079,Jazz,2015,82500.0,Automatic,51600.0,1497.0,5.0,Silver,120.0,145.0,3955.0,1694.0,1524.0,40.0,Japan
7891,Honda,6649411,Civic,2010,92500.0,Automatic,49800.0,1998.0,5.0,White,155.0,188.0,4450.0,1750.0,1435.0,50.0,Japan
7892,Toyota,6640012,Vios,2010,87500.0,Manual,25800.0,1497.0,5.0,Brown,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
7893,Honda,6597493,Civic,2013,72500.0,Automatic,54800.0,1997.0,5.0,Silver,155.0,190.0,4525.0,1755.0,1435.0,50.0,Japan
7894,Toyota,6550174,Vios,2015,47500.0,Automatic,54800.0,1497.0,5.0,Bronze,109.0,141.0,4410.0,1700.0,1475.0,42.0,Japan
7895,Toyota,6448032,Wish,2004,112500.0,Automatic,28800.0,1794.0,6.0,Black,179.0,170.0,4550.0,1695.0,1590.0,60.0,Japan
7896,Honda,6630897,CR-Z,2013,37500.0,Automatic,54800.0,1496.0,4.0,Grey,135.0,172.0,4075.0,1740.0,1395.0,40.0,Japan
7897,Honda,6472775,City,2016,57500.0,Automatic,53800.0,1497.0,5.0,Grey,120.0,145.0,4440.0,1695.0,1477.0,40.0,Japan
7898,Perodua,6597592,Myvi,2017,32500.0,Automatic,37800.0,1495.0,5.0,Silver,103.0,136.0,3685.0,1665.0,1570.0,40.0,Malaysia
7899,BMW,6425789,520d,2012,97500.0,Automatic,81800.0,1995.0,5.0,Black,184.0,380.0,4899.0,2094.0,1464.0,70.0,Germany
7900,Honda,6492232,City,2013,67500.0,Automatic,35800.0,1497.0,5.0,Black,120.0,145.0,4415.0,1695.0,1470.0,42.0,Japan
7901,Honda,6592899,Civic,2009,92500.0,Automatic,47800.0,1998.0,5.0,White,155.0,188.0,4450.0,1750.0,1435.0,50.0,Japan
7902,Toyota,6574798,Vios,2013,77500.0,Automatic,33800.0,1497.0,5.0,White,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
7903,Toyota,6623735,Vios,2011,82500.0,Automatic,33800.0,1497.0,5.0,White,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
7904,Perodua,6478988,Myvi,2013,67500.0,Automatic,21800.0,1298.0,5.0,Silver,91.0,117.0,3690.0,1665.0,1545.0,40.0,Malaysia
7905,Honda,6522302,Stream,2012,82500.0,Automatic,63800.0,1799.0,7.0,Black,140.0,174.0,4570.0,1695.0,1545.0,55.0,Japan
7906,Nissan,6475157,Grand Livina,2012,97500.0,Automatic,31800.0,1798.0,7.0,White,126.0,174.0,4420.0,1690.0,1590.0,52.0,Japan
7907,Honda,6486600,CR-V,2013,67500.0,Automatic,63900.0,1997.0,5.0,Grey,155.0,190.0,4545.0,1820.0,1685.0,58.0,Japan
7908,Honda,6654064,Accord,2014,80000.0,Automatic,82000.0,2356.0,5.0,Grey,175.0,225.0,4870.0,1850.0,1465.0,65.0,Japan
7909,Mercedes-Benz,5871805,C300,2018,2500.0,Automatic,273000.0,1991.0,5.0,White,258.0,370.0,4686.0,1810.0,1442.0,55.0,Germany
7910,Mercedes-Benz,5871867,A250,2018,2500.0,Automatic,225000.0,1991.0,5.0,White,224.0,350.0,4419.0,1796.0,1440.0,43.0,Germany
7911,Mercedes-Benz,6651139,A45 AMG,2015,67500.0,Automatic,198000.0,1991.0,5.0,Black,360.0,450.0,4292.0,1780.0,1433.0,55.0,Germany
7912,Proton,6616558,Preve,2014,47500.0,Automatic,22800.0,1561.0,5.0,Yellow,140.0,205.0,4543.0,1786.0,1524.0,50.0,Malaysia
7913,Toyota,6599275,Innova,2014,57500.0,Automatic,51800.0,1998.0,8.0,Silver,136.0,182.0,4585.0,1775.0,1760.0,55.0,Japan
7914,Volkswagen,6614691,Golf,2013,62500.0,Automatic,101800.0,1984.0,5.0,Black,220.0,350.0,4268.0,1799.0,1442.0,50.0,Germany
7915,BMW,6563509,X5,2009,92500.0,Automatic,57800.0,2996.0,5.0,Silver,272.0,315.0,4854.0,1933.0,1766.0,85.0,Germany
7916,BMW,6611871,328i,2012,82500.0,Automatic,91800.0,1997.0,5.0,Blue,245.0,350.0,4624.0,1811.0,1429.0,60.0,Germany
7917,Mercedes-Benz,6651196,C200 CGI,2011,82500.0,Automatic,65800.0,1796.0,5.0,White,184.0,270.0,4581.0,2020.0,1447.0,66.0,Germany
7918,BMW,6618437,528i,2011,77500.0,Automatic,86999.0,2996.0,5.0,Grey,258.0,310.0,4899.0,1860.0,1464.0,55.0,Germany
7919,BMW,6651220,X6,2009,47500.0,Automatic,95888.0,2979.0,4.0,Black,306.0,400.0,4877.0,1983.0,1690.0,85.0,Germany
7920,BMW,6649665,320i,2013,67500.0,Automatic,92800.0,1997.0,5.0,Red,184.0,270.0,4624.0,1811.0,1429.0,60.0,Germany
7921,BMW,6614748,318i,2015,32500.0,Automatic,103700.0,1499.0,5.0,Bronze,136.0,220.0,4633.0,1811.0,1429.0,60.0,Germany
7922,BMW,6580893,328i,2013,62500.0,Automatic,87800.0,1997.0,5.0,Grey,245.0,350.0,4624.0,1811.0,1429.0,60.0,Germany
7923,Toyota,6556430,Estima,2008,67500.0,Automatic,69999.0,2362.0,7.0,White,170.0,220.0,4795.0,1800.0,1750.0,65.0,Japan
7924,Mercedes-Benz,6436238,E250,2010,87500.0,Automatic,82800.0,1796.0,4.0,White,204.0,310.0,4698.0,1786.0,1397.0,80.0,Germany
7925,BMW,6551694,535i,2010,87500.0,Automatic,98800.0,2979.0,5.0,Grey,306.0,400.0,4998.0,1901.0,1559.0,70.0,Germany
7926,BMW,6551258,320i,2014,57500.0,Automatic,87800.0,1997.0,5.0,White,184.0,270.0,4624.0,1881.0,1429.0,60.0,Germany
7927,BMW,6550883,X1,2014,47500.0,Automatic,83800.0,1995.0,5.0,Unknown,184.0,380.0,4454.0,1798.0,1545.0,61.0,Germany
