,make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,length,width,height,fuel_tanks_litres,country
0,Mercedes-Benz,6555771,E200K,2007,107500.0,Automatic,32999.0,1796.0,5.0,Silver,184.0,240.0,4818.0,1822.0,1452.0,65.0,Germany
1,Mercedes-Benz,6555308,C200K,2004,122500.0,Automatic,21500.0,1796.0,5.0,Blue,163.0,240.0,4526.0,1728.0,1426.0,62.0,Germany
2,Mazda,6555277,2,2017,62500.0,Automatic,59500.0,1496.0,5.0,Red,116.0,148.0,4320.0,1695.0,1470.0,44.0,Japan
3,Toyota,6635009,Vios,2014,102500.0,Automatic,49800.0,1497.0,5.0,White,109.0,141.0,4410.0,1700.0,1475.0,42.0,Japan
4,Honda,6649237,CR-V,2013,77500.0,Automatic,72800.0,1997.0,5.0,Grey,155.0,190.0,4545.0,1820.0,1685.0,58.0,Japan
5,Honda,6555788,Civic,2013,87500.0,Automatic,54800.0,1798.0,5.0,Grey,141.0,174.0,4525.0,1755.0,1435.0,50.0,Japan
6,Honda,6615243,Jazz,2016,52500.0,Automatic,54800.0,1497.0,5.0,Red,120.0,145.0,3955.0,1694.0,1524.0,40.0,Japan
7,Volvo,6543510,XC60,2019,2500.0,Automatic,308888.0,1969.0,5.0,Black,320.0,400.0,4688.0,1902.0,1658.0,50.0,Sweden
8,Proton,6641257,Iriz,2016,22500.0,Automatic,29000.0,1597.0,5.0,Red,109.0,150.0,3920.0,1722.0,1554.0,40.0,Malaysia
9,Lamborghini,6652459,Huracan,2014,3600.0,Automatic,1150000.0,5204.0,2.0,Silver,610.0,560.0,4459.0,1924.0,1165.0,80.0,Italy
10,Toyota,6359166,Sienta,2018,47500.0,Automatic,69777.0,1496.0,7.0,Red,107.0,143.0,4235.0,1695.0,1695.0,42.0,Japan
11,Toyota,6639517,Camry,2015,34000.0,Automatic,98800.0,2494.0,5.0,Grey,160.0,213.0,4850.0,1825.0,1470.0,65.0,Japan
12,BMW,6499357,330i,2019,7500.0,Automatic,258800.0,1998.0,5.0,Blue,258.0,400.0,4709.0,1827.0,1435.0,59.0,Germany
13,BMW,6688354,X1,2019,7500.0,Automatic,183800.0,1998.0,5.0,Black,192.0,280.0,4439.0,1821.0,1612.0,51.0,Germany
14,Mitsubishi,6473631,ASX,2014,62500.0,Automatic,52800.0,1998.0,5.0,White,150.0,197.0,4295.0,1770.0,1615.0,63.0,Japan
15,BMW,6569923,328i,2012,77500.0,Automatic,91800.0,1997.0,5.0,Black,245.0,350.0,4624.0,1811.0,1429.0,60.0,Germany
16,BMW,6573321,528i,2015,52500.0,Automatic,146800.0,1997.0,5.0,White,245.0,350.0,4907.0,1860.0,1462.0,70.0,Germany
17,Mercedes-Benz,6584166,C180K,2003,122500.0,Automatic,23888.0,1796.0,5.0,White,143.0,220.0,4526.0,1728.0,1426.0,62.0,Germany
18,BMW,6293469,X5,2001,128800.0,Automatic,25888.0,2979.0,5.0,Black,231.0,300.0,4667.0,1872.0,1715.0,93.0,Germany
19,Mercedes-Benz,6584144,A170,2005,152500.0,Automatic,18888.0,1699.0,5.0,Black,116.0,155.0,3838.0,1764.0,1593.0,54.0,Germany
20,BMW,6293839,525i,2008,70000.0,Automatic,39999.0,2996.0,5.0,Grey,218.0,270.0,4841.0,1846.0,1468.0,70.0,Germany
21,Toyota,6650941,Estima,2009,127500.0,Automatic,74800.0,2362.0,7.0,Silver,170.0,223.0,4795.0,1800.0,1745.0,65.0,Japan
22,Perodua,6288523,Axia,2015,72500.0,Automatic,22800.0,998.0,5.0,White,67.0,90.0,3640.0,1620.0,1510.0,33.0,Malaysia
23,BMW,6561146,320i,2014,72500.0,Automatic,91800.0,1997.0,5.0,Grey,184.0,270.0,4624.0,1811.0,1429.0,60.0,Germany
24,Toyota,6659392,Estima,2012,72500.0,Automatic,113888.0,2362.0,7.0,White,170.0,223.0,4795.0,1800.0,1745.0,65.0,Japan
25,Toyota,6636324,Vios,2009,107500.0,Automatic,29000.0,1497.0,5.0,Silver,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
26,Honda,6496817,HR-V,2015,42500.0,Automatic,69800.0,1799.0,5.0,White,143.0,172.0,4294.0,1772.0,1605.0,50.0,Japan
27,Honda,6636299,HR-V,2015,42500.0,Automatic,68000.0,1799.0,5.0,Black,143.0,172.0,4294.0,1772.0,1605.0,50.0,Japan
28,Honda,6652839,City,2007,187500.0,Automatic,18500.0,1497.0,5.0,White,90.0,131.0,4390.0,1690.0,1485.0,42.0,Japan
29,Toyota,6651190,Hilux,2013,107500.0,Manual,58000.0,2494.0,2.0,Silver,144.0,343.0,5135.0,1760.0,1795.0,76.0,Japan
30,Honda,6584697,City,2015,32500.0,Automatic,49500.0,1497.0,5.0,Silver,120.0,145.0,4440.0,1695.0,1477.0,40.0,Japan
31,Toyota,6529938,Hilux,2012,87500.0,Automatic,55800.0,2494.0,5.0,Silver,102.0,260.0,5260.0,1835.0,1850.0,76.0,Japan
32,Toyota,5768080,Vios,2009,82500.0,Manual,26800.0,1497.0,5.0,Silver,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
33,Toyota,6005270,Vios,2003,102500.0,Automatic,15800.0,1496.0,5.0,Gold,109.0,142.0,4285.0,1695.0,1435.0,45.0,Japan
34,Ford,5770496,Fiesta,2012,72500.0,Automatic,26800.0,1596.0,5.0,Green,120.0,152.0,3950.0,1722.0,1475.0,42.0,USA
35,Toyota,5768179,Vios,2009,67500.0,Automatic,28800.0,1497.0,5.0,Black,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
36,Volkswagen,5768168,Passat,2011,82500.0,Automatic,48800.0,1798.0,5.0,Blue,160.0,250.0,4769.0,1820.0,1470.0,70.0,Germany
37,Proton,5597063,Saga,2013,67500.0,Automatic,17800.0,1332.0,5.0,White,95.0,120.0,4278.0,1680.0,1520.0,40.0,Malaysia
38,Proton,5206113,Saga,2011,67500.0,Automatic,12800.0,1332.0,5.0,White,95.0,120.0,4278.0,1680.0,1520.0,40.0,Malaysia
39,Nissan,5768361,Sentra,2005,82500.0,Automatic,14800.0,1597.0,5.0,Grey,118.0,143.0,4495.0,1695.0,1445.0,50.0,Japan
40,Toyota,6660280,Innova,2015,97500.0,Automatic,61800.0,1998.0,8.0,Silver,136.0,182.0,4585.0,1775.0,1760.0,55.0,Japan
41,Honda,6495591,City,2015,62500.0,Automatic,57800.0,1497.0,5.0,Blue,120.0,145.0,4440.0,1695.0,1477.0,40.0,Japan
42,Honda,6559721,City,2013,87500.0,Automatic,38800.0,1497.0,5.0,Grey,120.0,145.0,4415.0,1695.0,1470.0,42.0,Japan
43,Toyota,6471907,Vellfire,2010,77500.0,Automatic,95000.0,2362.0,7.0,Silver,170.0,224.0,4850.0,1830.0,1890.0,65.0,Japan
44,Mercedes-Benz,6566987,C180 CGI,2010,87500.0,Automatic,56800.0,1797.0,5.0,Grey,156.0,250.0,4581.0,1770.0,1432.0,66.0,Germany
45,Kia,6383470,Cerato,2014,92500.0,Automatic,50800.0,1999.0,5.0,White,160.0,194.0,4560.0,1780.0,1445.0,50.0,Japan
46,Toyota,6135252,Corolla Altis,2012,77500.0,Automatic,50800.0,1798.0,5.0,Silver,140.0,173.0,4540.0,1760.0,1465.0,55.0,Japan
47,Volkswagen,6603732,Golf,2013,55000.0,Automatic,58800.0,1395.0,5.0,Grey,140.0,250.0,4255.0,1799.0,1452.0,50.0,Germany
48,Volkswagen,6603730,Tiguan,2017,60000.0,Automatic,103800.0,1395.0,5.0,Red,150.0,250.0,4486.0,1839.0,1673.0,60.0,Germany
49,Toyota,6603686,Corolla Altis,2014,65000.0,Automatic,66800.0,1798.0,5.0,White,139.0,173.0,4620.0,1776.0,1460.0,55.0,Japan
50,Volkswagen,6650217,Passat,2012,150000.0,Automatic,43800.0,1798.0,5.0,Silver,160.0,250.0,4769.0,1820.0,1470.0,70.0,Germany
51,Volkswagen,6597752,Polo,2011,114000.0,Automatic,24800.0,1598.0,5.0,Blue,105.0,153.0,4384.0,1699.0,1466.0,55.0,Germany
52,Perodua,6597751,Alza,2011,97500.0,Automatic,25800.0,1495.0,7.0,Silver,103.0,136.0,4205.0,1695.0,1620.0,42.0,Malaysia
53,Perodua,6597748,Myvi,2013,78000.0,Automatic,30800.0,1495.0,5.0,Silver,103.0,136.0,3685.0,1665.0,1545.0,40.0,Malaysia
54,Mitsubishi,6597745,Grandis,2010,108000.0,Automatic,43800.0,2378.0,7.0,Black,165.0,217.0,4760.0,1795.0,1655.0,65.0,Japan
55,Honda,6597746,Civic,2013,84000.0,Automatic,51800.0,1798.0,5.0,Silver,141.0,174.0,4525.0,1755.0,1435.0,50.0,Japan
56,Honda,5986183,Jazz,2020,2500.0,Automatic,76128.0,1497.0,5.0,Unknown,120.0,145.0,3989.0,1694.0,1668.0,40.0,Japan
57,Volvo,6607076,S90,2019,22500.0,Automatic,288888.0,1969.0,5.0,Black,325.0,400.0,4963.0,1879.0,1443.0,50.0,Sweden
58,Volvo,6607063,S90,2019,22500.0,Automatic,288888.0,1969.0,5.0,Black,325.0,400.0,4963.0,1879.0,1443.0,50.0,Sweden
59,Volvo,6607070,S90,2019,22500.0,Automatic,288888.0,1969.0,5.0,Black,325.0,400.0,4963.0,1879.0,1443.0,50.0,Sweden
60,Volvo,6543536,XC60,2019,2500.0,Automatic,308888.0,1969.0,5.0,Black,320.0,400.0,4688.0,1902.0,1658.0,50.0,Sweden
61,Volvo,6543525,XC60,2019,2500.0,Automatic,308888.0,1969.0,5.0,Black,320.0,400.0,4688.0,1902.0,1658.0,50.0,Sweden
62,Mercedes-Benz,6586857,C200,2019,7500.0,Automatic,218888.0,1497.0,5.0,Silver,184.0,280.0,4686.0,1810.0,1442.0,66.0,Germany
63,Toyota,5998837,Camry,2010,117500.0,Automatic,45800.0,1998.0,5.0,White,147.0,190.0,4825.0,1820.0,1470.0,70.0,Japan
64,Perodua,6576911,Alza,2014,107500.0,Automatic,38800.0,1495.0,7.0,Silver,103.0,136.0,4270.0,1695.0,1620.0,42.0,Malaysia
65,Mazda,6599927,6,2013,87500.0,Automatic,65800.0,1998.0,5.0,Unknown,155.0,200.0,4865.0,1840.0,1450.0,62.0,Japan
66,BMW,6350315,X3,2018,12500.0,Automatic,238800.0,1998.0,5.0,Black,252.0,350.0,4708.0,1891.0,1676.0,65.0,Germany
67,Toyota,5860182,Vellfire,2012,67500.0,Automatic,108800.0,2362.0,7.0,Black,170.0,224.0,4865.0,1840.0,1900.0,65.0,Japan
68,BMW,6502400,330e,2019,2500.0,Automatic,193800.0,1998.0,5.0,White,184.0,290.0,4633.0,1811.0,1429.0,60.0,Germany
69,BMW,6651890,330e,2019,2500.0,Automatic,185800.0,1998.0,5.0,Grey,184.0,290.0,4633.0,1811.0,1429.0,60.0,Germany
70,BMW,6350377,740Li,2016,42500.0,Automatic,318800.0,2998.0,5.0,Blue,326.0,450.0,5238.0,1902.0,1479.0,78.0,Germany
71,BMW,6652643,330i,2019,2500.0,Automatic,265800.0,1998.0,5.0,Black,258.0,400.0,4709.0,1827.0,1435.0,59.0,Germany
72,BMW,6653107,530e,2019,2500.0,Automatic,270800.0,1998.0,5.0,White,184.0,290.0,4936.0,1868.0,1483.0,46.0,Germany
73,BMW,6653298,740Le,2019,2500.0,Automatic,408800.0,1998.0,5.0,White,258.0,400.0,5238.0,1902.0,1479.0,78.0,Germany
74,BMW,6652765,530i,2019,2500.0,Automatic,323800.0,1998.0,5.0,White,252.0,350.0,4936.0,1868.0,1479.0,68.0,Germany
75,BMW,6657098,530i,2019,2500.0,Automatic,304800.0,1998.0,5.0,White,252.0,350.0,4936.0,1868.0,1479.0,68.0,Germany
76,Mercedes-Benz,6655276,E300,2018,57500.0,Automatic,288800.0,1991.0,5.0,White,245.0,370.0,4923.0,1852.0,1468.0,66.0,Germany
77,BMW,6657173,740Le,2019,7500.0,Automatic,400800.0,1998.0,5.0,White,258.0,400.0,5238.0,1902.0,1479.0,78.0,Germany
78,BMW,6657200,530e,2019,7500.0,Automatic,264800.0,1998.0,5.0,Blue,184.0,290.0,4936.0,1868.0,1483.0,46.0,Germany
79,Mercedes-Benz,6445340,E250,2013,82500.0,Automatic,145600.0,1991.0,5.0,Grey,211.0,350.0,4879.0,1854.0,1474.0,80.0,Germany
80,BMW,6573826,428i,2015,62500.0,Automatic,186600.0,1997.0,4.0,Blue,245.0,350.0,4638.0,1825.0,1377.0,60.0,Germany
81,Toyota,6656184,Vellfire,2012,92500.0,Automatic,117600.0,2362.0,7.0,White,170.0,224.0,4870.0,1830.0,1890.0,65.0,Japan
82,Perodua,6646798,Kenari,2005,117500.0,Manual,12000.0,989.0,5.0,Grey,55.0,88.0,3450.0,1480.0,1640.0,40.0,Malaysia
83,Toyota,6646797,Vios,2011,107500.0,Automatic,37000.0,1497.0,5.0,White,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
84,Perodua,6646791,Axia,2019,2500.0,Automatic,31000.0,998.0,5.0,Red,68.0,91.0,3645.0,1620.0,1510.0,33.0,Malaysia
85,Perodua,6646790,Alza,2014,62500.0,Automatic,43000.0,1495.0,7.0,White,103.0,136.0,4270.0,1695.0,1620.0,42.0,Malaysia
86,Proton,6646788,Wira,2002,77500.0,Automatic,7000.0,1468.0,5.0,Silver,90.0,126.0,4360.0,1680.0,1385.0,50.0,Malaysia
87,MINI,6628049,Cooper,2012,67500.0,Automatic,88000.0,1598.0,4.0,Unknown,184.0,260.0,3729.0,1683.0,1433.0,50.0,UK
88,Ferrari,6486545,F430,2008,12500.0,Manual,348000.0,4308.0,2.0,Red,489.0,465.0,4512.0,1923.0,1234.0,95.0,Italy
89,Perodua,6623828,Axia,2016,92500.0,Automatic,30800.0,998.0,5.0,Yellow,67.0,90.0,3640.0,1620.0,1510.0,33.0,Malaysia
90,Toyota,6659564,Vios,2010,117500.0,Automatic,30800.0,1497.0,5.0,Silver,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
91,Naza,6657191,Citra,2007,147500.0,Automatic,12800.0,1975.0,7.0,Unknown,137.0,175.0,4493.0,1748.0,1609.0,55.0,Malaysia
92,Perodua,6328968,Myvi,2008,127500.0,Automatic,16800.0,1298.0,5.0,White,87.0,116.0,3720.0,1665.0,1550.0,40.0,Malaysia
93,BMW,6373933,X1,2016,147500.0,Automatic,129800.0,1998.0,5.0,Silver,192.0,280.0,4439.0,1821.0,1612.0,51.0,Germany
94,Toyota,6559762,Wish,2011,103000.0,Automatic,69800.0,1797.0,7.0,Black,143.0,173.0,4600.0,1720.0,1590.0,60.0,Japan
95,Mercedes-Benz,6629451,CLS350,2012,77500.0,Automatic,143800.0,3498.0,4.0,Black,306.0,370.0,4940.0,1881.0,1416.0,80.0,Germany
96,Proton,6382621,Exora,2013,87500.0,Automatic,28800.0,1561.0,7.0,Silver,140.0,205.0,4592.0,1809.0,1691.0,55.0,Malaysia
97,Toyota,6622384,Alphard,2008,112500.0,Automatic,85800.0,2362.0,7.0,Silver,159.0,220.0,4840.0,1805.0,1935.0,70.0,Japan
98,Volkswagen,6659305,Golf,2011,152500.0,Automatic,73800.0,1984.0,5.0,Grey,211.0,280.0,4213.0,1786.0,1501.0,55.0,Germany
99,Honda,6659300,City,2010,102500.0,Automatic,34800.0,1497.0,5.0,Blue,120.0,145.0,4395.0,1695.0,1470.0,42.0,Japan
100,Toyota,6597871,Vios,2014,120000.0,Automatic,56800.0,1497.0,5.0,White,109.0,141.0,4410.0,1700.0,1475.0,42.0,Japan
101,Perodua,6556163,Alza,2010,87500.0,Automatic,28800.0,1495.0,7.0,Blue,103.0,136.0,4205.0,1695.0,1620.0,42.0,Malaysia
102,Perodua,6659299,Axia,2015,72500.0,Automatic,27800.0,998.0,5.0,White,67.0,90.0,3640.0,1620.0,1510.0,33.0,Malaysia
103,Perodua,6669697,Myvi,2013,82500.0,Automatic,30800.0,1298.0,5.0,Grey,91.0,117.0,3690.0,1665.0,1545.0,40.0,Malaysia
104,Proton,6687366,Preve,2014,80000.0,Automatic,26800.0,1597.0,5.0,Red,109.0,150.0,4543.0,1786.0,1524.0,50.0,Malaysia
105,Proton,6659776,Saga,2012,92500.0,Automatic,19800.0,1597.0,5.0,Red,109.0,150.0,4278.0,1680.0,1520.0,40.0,Malaysia
106,Toyota,6638897,Fortuner,2009,107500.0,Automatic,48888.0,2694.0,7.0,Black,160.0,241.0,4695.0,1540.0,1850.0,65.0,Japan
107,Toyota,6649213,Alphard,2012,79999.0,Automatic,130000.0,2362.0,7.0,White,170.0,224.0,4885.0,1840.0,1900.0,55.0,Japan
108,Toyota,6632376,Camry,2005,192500.0,Automatic,19800.0,1998.0,5.0,Black,196.0,190.0,4825.0,1810.0,1490.0,70.0,Japan
109,Nissan,6417168,Navara,2012,92500.0,Automatic,42900.0,2488.0,5.0,Grey,174.0,403.0,5230.0,1850.0,1780.0,80.0,Japan
110,Perodua,6627092,Myvi,2008,112500.0,Automatic,15000.0,1298.0,5.0,Silver,87.0,116.0,3720.0,1665.0,1550.0,40.0,Malaysia
111,Toyota,6384836,Vios,2007,107500.0,Automatic,18500.0,1496.0,5.0,Black,109.0,142.0,4285.0,1695.0,1435.0,45.0,Japan
112,Nissan,6643661,Latio,2007,152500.0,Automatic,16990.0,1598.0,5.0,Silver,109.0,153.0,4205.0,1695.0,1535.0,55.0,Japan
113,Toyota,6588459,Estima,2010,97500.0,Automatic,95800.0,2362.0,7.0,Black,170.0,223.0,4795.0,1800.0,1745.0,65.0,Japan
114,Nissan,6641203,Grand Livina,2010,137500.0,Automatic,30000.0,1798.0,7.0,White,126.0,174.0,4420.0,1690.0,1590.0,52.0,Japan
115,Toyota,6138271,Innova,2013,127500.0,Automatic,49800.0,1998.0,8.0,Silver,136.0,182.0,4585.0,1775.0,1760.0,55.0,Japan
116,Toyota,6333257,Vellfire,2008,147500.0,Automatic,89800.0,3456.0,7.0,White,280.0,344.0,4885.0,1840.0,1900.0,65.0,Japan
117,Isuzu,5741803,D-Max,2017,62500.0,Automatic,78888.0,2499.0,5.0,Black,136.0,320.0,5295.0,1860.0,1795.0,76.0,Japan
118,Mercedes-Benz,5616365,E250,2011,92500.0,Automatic,78800.0,1796.0,5.0,Grey,204.0,310.0,4868.0,2071.0,1471.0,80.0,Germany
119,Toyota,5162368,Innova,2013,50000.0,Automatic,45800.0,1998.0,8.0,Silver,136.0,182.0,4585.0,1775.0,1760.0,55.0,Japan
120,Suzuki,6515817,Swift,2013,67500.0,Automatic,27800.0,1372.0,5.0,Black,95.0,130.0,3850.0,1695.0,1510.0,42.0,Japan
121,Toyota,5998404,Harrier,2006,117500.0,Automatic,33800.0,2362.0,5.0,Black,160.0,221.0,4730.0,1845.0,1680.0,75.0,Japan
122,Toyota,5632468,Estima,2008,117500.0,Automatic,58000.0,2362.0,7.0,White,170.0,220.0,4795.0,1800.0,1750.0,65.0,Japan
123,Hyundai,6184265,Elantra,2016,52500.0,Automatic,44800.0,1591.0,5.0,Silver,129.0,157.0,4530.0,1775.0,1445.0,49.0,Japan
124,Toyota,5676679,Camry,2016,42500.0,Automatic,94800.0,2494.0,5.0,Grey,160.0,213.0,4850.0,1825.0,1470.0,65.0,Japan
125,Honda,5925657,Civic,2008,107500.0,Automatic,33800.0,1799.0,5.0,Black,140.0,174.0,4540.0,1755.0,1435.0,50.0,Japan
126,BMW,6297789,X1,2013,77500.0,Automatic,65000.0,1997.0,5.0,Grey,184.0,270.0,4454.0,1798.0,1545.0,63.0,Germany
127,Mercedes-Benz,5630638,E300,2015,32500.0,Automatic,120000.0,2143.0,5.0,Black,204.0,500.0,4879.0,1854.0,1474.0,80.0,Germany
128,Mitsubishi,6638331,Lancer,2009,97500.0,Automatic,35800.0,1998.0,5.0,Red,155.0,199.0,4570.0,1760.0,1490.0,59.0,Japan
129,Land Rover,6184376,Range Rover Evoque,2012,82500.0,Automatic,127000.0,1999.0,5.0,Grey,241.0,340.0,4365.0,1965.0,1635.0,70.0,UK
130,Perodua,6539313,Axia,2014,122500.0,Manual,15827.0,998.0,5.0,White,67.0,90.0,3640.0,1620.0,1510.0,33.0,Malaysia
131,Toyota,6539323,Corolla Altis,2014,87500.0,Automatic,69827.0,1798.0,5.0,White,139.0,173.0,4620.0,1776.0,1460.0,55.0,Japan
132,Toyota,6651263,Vellfire,2010,97500.0,Automatic,112500.0,2362.0,7.0,White,170.0,224.0,4865.0,1840.0,1900.0,65.0,Japan
133,Toyota,6655167,Vellfire,2014,92500.0,Automatic,158500.0,2362.0,7.0,Black,170.0,224.0,4885.0,1840.0,1900.0,65.0,Japan
134,Land Rover,6055228,Freelander 2,2008,122500.0,Automatic,43888.0,2179.0,5.0,Green,160.0,400.0,4500.0,1910.0,1740.0,68.0,UK
135,Proton,6659818,Persona,2010,87500.0,Automatic,13555.0,1597.0,5.0,Brown,111.0,148.0,4477.0,1725.0,1438.0,55.0,Malaysia
136,Land Rover,6570408,Range Rover Sport,2018,7500.0,Automatic,998888.0,4999.0,5.0,Black,551.0,680.0,4850.0,1983.0,1780.0,105.0,UK
137,Mazda,6487824,CX-5,2014,92500.0,Automatic,76500.0,1998.0,5.0,Grey,155.0,200.0,4555.0,1840.0,1670.0,56.0,Japan
138,Audi,6664796,TT,2008,97500.0,Automatic,61880.0,1984.0,4.0,White,200.0,280.0,4178.0,1842.0,1352.0,55.0,Germany
139,Perodua,6418738,Alza,2012,107500.0,Automatic,28880.0,1495.0,7.0,Silver,103.0,136.0,4205.0,1695.0,1620.0,42.0,Malaysia
140,Toyota,6471952,Vios,2011,112500.0,Automatic,38880.0,1497.0,5.0,Blue,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
141,Toyota,6540307,Camry,2014,77500.0,Automatic,79850.0,1998.0,5.0,White,148.0,190.0,4825.0,1825.0,1470.0,70.0,Japan
142,Honda,6636803,City,2015,62500.0,Automatic,47850.0,1497.0,5.0,Blue,120.0,145.0,4440.0,1695.0,1477.0,40.0,Japan
143,Toyota,6427802,Corolla Altis,2014,77500.0,Automatic,63850.0,1798.0,5.0,Blue,139.0,173.0,4620.0,1776.0,1460.0,55.0,Japan
144,Toyota,6654120,Corolla Altis,2006,122500.0,Automatic,19880.0,1598.0,5.0,Silver,110.0,146.0,4530.0,1705.0,1480.0,55.0,Japan
145,Mazda,6639896,2,2010,102500.0,Automatic,22880.0,1498.0,5.0,Grey,103.0,135.0,4263.0,1695.0,1483.0,42.0,Japan
146,Toyota,6532332,Vios,2013,92500.0,Automatic,38850.0,1497.0,5.0,Silver,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
147,Kia,6563754,Picanto,2010,52500.0,Automatic,13880.0,1088.0,5.0,Red,64.0,96.0,3495.0,1595.0,1480.0,35.0,Japan
148,Toyota,6406860,Vios,2008,97500.0,Automatic,27880.0,1497.0,5.0,Black,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
149,Proton,6658988,Inspira,2011,92500.0,Automatic,35850.0,1998.0,5.0,Red,150.0,197.0,4570.0,1760.0,1490.0,59.0,Malaysia
150,Proton,6227444,Perdana,2014,42500.0,Automatic,45850.0,1997.0,5.0,Grey,156.0,189.0,4950.0,1845.0,1475.0,70.0,Malaysia
151,Toyota,6428979,Estima,2007,187500.0,Automatic,61850.0,3456.0,7.0,Silver,284.0,332.0,4795.0,1800.0,1730.0,65.0,Japan
152,Mercedes-Benz,6029878,E250,2014,42500.0,Automatic,173800.0,1991.0,4.0,Black,211.0,350.0,4703.0,1786.0,1397.0,55.0,Germany
153,Toyota,6634050,Mark X,2005,202500.0,Automatic,44880.0,2499.0,5.0,Silver,215.0,260.0,4730.0,1775.0,1435.0,70.0,Japan
154,Ford,6662206,Fiesta,2013,122500.0,Automatic,30880.0,1498.0,5.0,White,111.0,140.0,3982.0,1722.0,1489.0,43.0,USA
155,Honda,6551522,CR-Z,2013,142500.0,Automatic,53850.0,1496.0,4.0,Red,135.0,172.0,4075.0,1740.0,1395.0,40.0,Japan
156,Proton,6696618,Preve,2014,62500.0,Automatic,26850.0,1561.0,5.0,Brown,140.0,205.0,4543.0,1786.0,1524.0,50.0,Malaysia
157,Proton,6250472,Preve,2014,47500.0,Automatic,26850.0,1561.0,5.0,Blue,140.0,205.0,4543.0,1786.0,1524.0,50.0,Malaysia
158,Perodua,6654552,Myvi,2014,77500.0,Automatic,26850.0,1298.0,5.0,Black,91.0,117.0,3690.0,1665.0,1545.0,40.0,Malaysia
159,Perodua,6373357,Myvi,2012,62500.0,Automatic,25880.0,1298.0,5.0,White,91.0,117.0,3690.0,1665.0,1545.0,40.0,Malaysia
160,BMW,5963635,540i,2007,87500.0,Automatic,66850.0,4000.0,5.0,Blue,306.0,390.0,4841.0,1846.0,1468.0,70.0,Germany
161,Hyundai,6445420,Sonata,2003,167500.0,Automatic,9850.0,1997.0,5.0,Black,133.0,178.0,4747.0,1820.0,1422.0,65.0,Japan
162,Perodua,5909673,Kenari,2003,202500.0,Automatic,8800.0,989.0,5.0,Purple,55.0,88.0,3450.0,1480.0,1640.0,40.0,Malaysia
163,Proton,6653358,Satria,2008,137500.0,Manual,20000.0,1597.0,5.0,Blue,111.0,148.0,3905.0,1710.0,1420.0,50.0,Malaysia
164,Lexus,6537222,GS250,2012,97500.0,Automatic,118850.0,2499.0,5.0,White,209.0,253.0,4850.0,1840.0,1455.0,66.0,Japan
165,Proton,6646830,Inspira,2011,102500.0,Automatic,34850.0,1998.0,5.0,White,150.0,197.0,4570.0,1760.0,1490.0,59.0,Malaysia
166,Proton,6297080,Saga,2011,97500.0,Manual,11880.0,1332.0,5.0,Blue,95.0,120.0,4278.0,1680.0,1520.0,40.0,Malaysia
167,Kia,6653254,Optima K5,2015,62500.0,Automatic,76850.0,1999.0,5.0,White,165.0,198.0,4856.0,1835.0,1455.0,70.0,Japan
168,Perodua,6436655,Alza,2013,67500.0,Automatic,32850.0,1495.0,7.0,White,103.0,136.0,4205.0,1695.0,1620.0,42.0,Malaysia
169,Volkswagen,6045079,Beetle,2013,97500.0,Automatic,59500.0,1197.0,4.0,Black,105.0,175.0,4278.0,1808.0,1486.0,55.0,Germany
170,Honda,6636342,Civic,2009,112500.0,Automatic,44880.0,1799.0,5.0,White,140.0,174.0,4540.0,1755.0,1435.0,50.0,Japan
171,Volvo,5971164,S80,2006,172500.0,Automatic,19850.0,1984.0,5.0,Silver,179.0,240.0,4822.0,1832.0,1452.0,80.0,Sweden
172,BMW,6361642,525i,2008,72500.0,Automatic,56850.0,2996.0,5.0,Silver,218.0,270.0,4841.0,1846.0,1468.0,70.0,Germany
173,Toyota,6581616,Harrier,2003,142500.0,Automatic,42850.0,2994.0,5.0,Black,299.0,304.0,4730.0,1845.0,1680.0,75.0,Japan
174,Honda,6580678,Jazz,2014,92500.0,Automatic,43850.0,1497.0,5.0,White,120.0,146.0,3900.0,1695.0,1525.0,42.0,Japan
175,BMW,6459926,523i,2010,82500.0,Automatic,79880.0,2497.0,5.0,White,204.0,250.0,4899.0,1860.0,1464.0,70.0,Germany
176,Volkswagen,6664926,Golf,2011,112500.0,Automatic,82880.0,1984.0,5.0,Grey,211.0,280.0,4213.0,1786.0,1501.0,55.0,Germany
177,Ford,6651062,Focus,2012,137500.0,Automatic,36850.0,1999.0,5.0,White,170.0,202.0,4358.0,1824.0,1466.0,55.0,USA
178,Kia,6613437,Optima K5,2014,72500.0,Automatic,69880.0,1999.0,5.0,Blue,165.0,198.0,4856.0,1835.0,1455.0,70.0,Japan
179,Perodua,6635805,Alza,2014,92500.0,Automatic,37880.0,1495.0,7.0,White,103.0,136.0,4270.0,1695.0,1620.0,42.0,Malaysia
