link,Engine Capacity,Seat Capacity,Colour
https://www.carlist.my/used-cars/2013-perodua-myvi-1-5-se-a/6597748,1495 cc,5,Silver
https://www.carlist.my/used-cars/2010-mitsubishi-grandis-2-4-a/6597745,2378 cc,7,Black
https://www.carlist.my/used-cars/2013-honda-civic-1-8-s-i-vtec-a/6597746,1798 cc,5,Silver
https://www.carlist.my/used-cars/honda-penang-bm-2020-honda-jazz-1-5-e-i-vtec-a/5986183,1497 cc,5,
https://www.carlist.my/used-cars/2019-volvo-s90-2-0-t8-inscription-plus-a-demo-car/6607076,1969 cc,5,Black
https://www.carlist.my/used-cars/2019-volvo-s90-2-0-t8-inscription-plus-a-demo-car/6607063,1969 cc,5,Black
https://www.carlist.my/used-cars/2019-volvo-s90-2-0-t8-inscription-plus-a-demo-car/6607070,1969 cc,5,Black
https://www.carlist.my/used-cars/2019-volvo-xc60-2-0-t8-inscription-plus-a-demo-car/6543536,1969 cc,5,Black
https://www.carlist.my/used-cars/2019-volvo-xc60-2-0-t8-inscription-plus-a-demo-car/6543525,1969 cc,5,Black
https://www.carlist.my/used-cars/pre-registered-2019-mercedes-benz-c200-fl/6586857,1497 cc,5,Silver
https://www.carlist.my/used-cars/2010-toyota-camry-2-0-e-a-facelift/5998837,1998 cc,5,White
https://www.carlist.my/used-cars/2014-perodua-alza-1-5-se-a-facelift/6576911,1495 cc,7,Silver
https://www.carlist.my/used-cars/2013-mazda-6-2-0-skyactiv-g-a-facelift/6599927,1998 cc,5,
https://www.carlist.my/used-cars/2018-bmw-x3-2-0-xdrive30i-luxury-suv/6350315,1998 cc,5,Black
https://www.carlist.my/used-cars/toyota-vellfire-2-4-a-z-platinum-mpv-2power-door-power-boot-reverse-camera-7-seater/5860182,2362 cc,7,Black
https://www.carlist.my/used-cars/2019-bmw-330e-2-0-m-sport-sedan/6502400,1998 cc,5,White
https://www.carlist.my/used-cars/2019-bmw-330e-2-0-m-sport-sedan/6651890,1998 cc,5,Grey
https://www.carlist.my/used-cars/2016-bmw-740li-3-0-sedan/6350377,2998 cc,5,Blue
https://www.carlist.my/used-cars/2019-bmw-330i-2-0-m-sport-sedan-cbu-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6652643,1998 cc,5,Black
https://www.carlist.my/used-cars/2019-bmw-530e-2-0-m-sport-sedan-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6653107,1998 cc,5,White
https://www.carlist.my/used-cars/2019-bmw-740le-2-0-xdrive-sedan-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6653298,1998 cc,5,White
https://www.carlist.my/used-cars/2019-bmw-530i-2-0-m-sport-sedan-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6652765,1998 cc,5,White
https://www.carlist.my/used-cars/2019-bmw-530i-2-0-m-sport-sedan-few-colours-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply/6657098,1998 cc,5,White
https://www.carlist.my/used-cars/2018-mercedes-benz-e300-2-0-amg-sedan/6655276,1991 cc,5,White
https://www.carlist.my/used-cars/2019-bmw-740le-2-0-xdrive-sedan-white-black-and-come-with-6-years-free-maintenance-t-c-apply/6657173,1998 cc,5,White
https://www.carlist.my/used-cars/2019-bmw-530e-2-0-m-sport-sedan-and-come-with-6-years-free-maintenance-t-c-apply/6657200,1998 cc,5,Blue
https://www.carlist.my/used-cars/2013-mercedes-benz-w212-e250-2-0l-a-avantgarde-sedan-facelift-model-like-new-condition/6445340,1991 cc,5,Grey
https://www.carlist.my/used-cars/2015-bmw-428i-2-0l-m-sport-2-door-coupe-local-malaysia-m-performance-lips-and-spoiler/6573826,1997 cc,4,Blue
https://www.carlist.my/used-cars/2015-mini-cooper-2-door-1-5l-a-local-cbu-low-mileage-all-original-like-new-condition/6546048,1598 cc,2,Green
https://www.carlist.my/used-cars/2012-toyota-vellfire-2-4l-a-new-facelift-vvti-a-2-power-door-genuine-low-mileage/6656184,2362 cc,7,White
https://www.carlist.my/used-cars/2005-perodua-kenari-1-0-gx-m/6646798,989 cc,5,Grey
https://www.carlist.my/used-cars/2011-toyota-vios-1-5-e-a/6646797,1497 cc,5,White
https://www.carlist.my/used-cars/2019-perodua-axia-1-0-a/6646791,998 cc,5,Red
https://www.carlist.my/used-cars/2014-perodua-alza-1-5-advance-a/6646790,1495 cc,7,White
https://www.carlist.my/used-cars/2002-proton-wira-1-5-a/6646788,1468 cc,5,Silver
https://www.carlist.my/used-cars/2012-mini-cooper-1-6-s-facelift-a-panaromic-roof/6628049,1598 cc,4,
https://www.carlist.my/used-cars/2008-ferrari-f430-4-3-spider-a/6486545,4308 cc,2,Red
https://www.carlist.my/used-cars/2016-perodua-axia-1-0-advance-a/6623828,998 cc,5,Yellow
https://www.carlist.my/used-cars/2010-toyota-vios-1-5-j-sedan/6659564,1497 cc,5,Silver
https://www.carlist.my/used-cars/2007-naza-citra-2-0-gls-a/6657191,1975 cc,7,
https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-se-a/6328968,1298 cc,5,White
https://www.carlist.my/used-cars/2016-bmw-x1-2-0-sdrive20i-a-bmw-premium-selection/6373933,1998 cc,5,Silver
https://www.carlist.my/used-cars/2011-toyota-wish-1-8-s-full-spec/6559762,1797 cc,7,Black
https://www.carlist.my/used-cars/2012-mercedes-benz-cls350-3-5-amg-japan-spec/6629451,3498 cc,4,Black
https://www.carlist.my/used-cars/2013-proton-exora-1-6-bold-cfe-a/6382621,1561 cc,7,Silver
https://www.carlist.my/used-cars/2008-toyota-alphard-2-4-mpv-a/6622384,2362 cc,7,Silver
https://www.carlist.my/used-cars/2011-volkswagen-golf-2-0-gti-hatchback-a/6659305,1984 cc,5,Grey
https://www.carlist.my/used-cars/2010-honda-city-1-5-e-i-vtec-sedan-a/6659300,1497 cc,5,Blue
https://www.carlist.my/used-cars/2014-toyota-vios-1-5-trd-sportivo-a-tip-top-condition/6597871,1497 cc,5,White
https://www.carlist.my/used-cars/2010-perodua-alza-1-5-ezi-mpv-a/6556163,1495 cc,7,Blue
https://www.carlist.my/used-cars/2015-perodua-axia-998-se-hatchback-a/6659299,998 cc,5,White
https://www.carlist.my/used-cars/2013-perodua-myvi-1-3-ezi-hatchback-a/6669697,1298 cc,5,Grey
https://www.carlist.my/used-cars/2014-proton-preve-1-6-executive-a-tip-tp-condition/6687366,1597 cc,5,Red
https://www.carlist.my/used-cars/2012-proton-saga-1-6-flx-se-sedan-a/6659776,1597 cc,5,Red
https://www.carlist.my/used-cars/2009-toyota-fortuner-2-7-v-a-facelift/6638897,2694 cc,7,Black
https://www.carlist.my/used-cars/2012-toyota-alphard-2-4-sc-package-home-theater-modelista-ori-low-mileage-view-believe/6649213,2362 cc,7,White
https://www.carlist.my/used-cars/2005-toyota-camry-2-0-e-sedan/6632376,1998 cc,5,Black
https://www.carlist.my/used-cars/2012-nissan-navara-2-5-le-a-one-owner-no-off-road/6417168,2488 cc,5,Grey
https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-ezi-a/6627092,1298 cc,5,Silver
https://www.carlist.my/used-cars/2007-toyota-vios-1-5-e-a-facelift/6384836,1496 cc,5,Black
https://www.carlist.my/used-cars/2007-nissan-latio-1-6-st-a/6643661,1598 cc,5,Silver
https://www.carlist.my/used-cars/2010-2016-toyota-estima-2-4-aeras-a/6588459,2362 cc,7,Black
https://www.carlist.my/used-cars/2010-nissan-grand-livina-1-8-impul-a/6641203,1798 cc,7,White
https://www.carlist.my/used-cars/2013-toyota-innova-2-0-e-a/6138271,1998 cc,8,Silver
https://www.carlist.my/used-cars/2008-2013-toyota-vellfire-3-5-z-g-edition-a/6333257,3456 cc,7,White
https://www.carlist.my/used-cars/2017-isuzu-d-max-2-5-a-4x4/5741803,2499 cc,5,Black
https://www.carlist.my/used-cars/2011-mercedes-benz-e250-1-8-sedan/5616365,1796 cc,5,Grey
https://www.carlist.my/used-cars/2013-toyota-innova-2-0-a/5162368,1998 cc,8,Silver
https://www.carlist.my/used-cars/2013-suzuki-swift-1-4-glx-hatchback/6515817,1372 cc,5,Black
https://www.carlist.my/used-cars/2003-2006-toyota-harrier-2-4/5998404,2362 cc,5,Black
https://www.carlist.my/used-cars/2006-2008-toyota-estima-2-4-aeras-mpv/5632468,2362 cc,7,White
https://www.carlist.my/used-cars/hyundai-elantra-1-6-facelift/6184265,1591 cc,5,Silver
https://www.carlist.my/used-cars/toyota-camry-2-5-hybrid-sedan/5676679,2494 cc,5,Grey
