link,Bore(mm),Stroke(mm),Power(hp),Compression Ratio,Peak Torque(Nm),Length(mm),Width(mm),Height(mm),Fuel Tank (litres)
https://www.carlist.my/used-cars/2014-mini-countryman-1-6-cooper-s-a-local-full-spec-super-low-mileage/6568650,NA,NA,190,NA,240,4110,1789,1561,47
https://www.carlist.my/used-cars/2012-proton-saga-1-3-m-1-owner-tip-top-condition/6069548,76,73.4,95,10,120,4278,1680,1520,40
https://www.carlist.my/used-cars/mazda-cx-5-2-5-4wd-a-cbu-import-new-facelift-skyactiv-g/6243692,NA,NA,185,13,250,4555,1840,1670,56
https://www.carlist.my/used-cars/2013-proton-exora-1-6-bold-cfe-a-premium-full-spec/6002829,NA,86,140,8.9,205,4592,1809,1691,55
https://www.carlist.my/used-cars/2010-mercedes-benz-s350l-3-5-amg-a-cbu-facelift-sunroof/6363672,92.6,86,272,10.5,350,5209,1872,1473,90
https://www.carlist.my/used-cars/2014-peugeot-208-1-6-gti-a-full-service-record/6468237,NA,NA,122,NA,160,3962,1739,1460,50
https://www.carlist.my/used-cars/2011-audi-q5-2-0-tfsi-quattro-a-facelift-memories-seat/6363603,NA,NA,211,NA,350,4629,1880,1653,75
https://www.carlist.my/used-cars/2009-nissan-sentra-1-6-sg-a-facelift-1-owner-tip-top-condition/6635321,76,88,118,9.5,143,4495,1695,1445,50
https://www.carlist.my/used-cars/nissan-x-trail-2-0-luxury-a-facelift-model-1-owner/6167078,89,80.3,150,9.9,200,4510,1765,1675,60
https://www.carlist.my/used-cars/2013-kia-forte-1-6-sx-a-full-spec-facelift-6-speed-paddle-shift/5996945,NA,NA,124,NA,156,4530,1775,1460,52
https://www.carlist.my/used-cars/2012-honda-stream-1-8-rsz-a-cbu-sunroof-facelift-paddle-shift/6543151,81,87.3,140,10.5,174,4570,1695,1545,55
https://www.carlist.my/used-cars/2013-toyota-hilux-3-0g-a-4x4-vnt-engine-pick-up-car-king/6573732,96,103,163,17.9,343,5260,1835,1850,76
https://www.carlist.my/used-cars/2009-toyota-mark-x-2-5-a-facelift-1-owner-tip-top-condition/6495307,83,77,215,12,260,4730,1775,1435,70
https://www.carlist.my/used-cars/2013-volkswagen-polo-1-4-gti-a-facelift-limited-sport-edition/6568682,NA,NA,179,NA,250,3976,1682,1452,45
https://www.carlist.my/used-cars/2012-renault-megane-2-0-rs-250-cup-coupe-m-cbu-import-new-limited-edition/6309545,82.7,93,253,8.6,340,4299,1848,1435,60
https://www.carlist.my/used-cars/2012-kia-sportage-2-0-sl-awd-a-cbu-import-new-sunroof/6312304,NA,NA,166,NA,197,4350,1800,1695,55
https://www.carlist.my/used-cars/2017-mazda-mx-5-2-0-skyactiv-a-sport-low-mileage-under-warranty-mazda/6498464,83.5,91.2,160,13,200,3915,1735,1235,45
https://www.carlist.my/used-cars/2014-nissan-almera-1-5-vl-a-impul-full-bodykit-pust-start/6656485,78,78.4,102,10.1,139,4425,1695,1510,41
https://www.carlist.my/used-cars/2016-volkswagen-polo-1-6-sport-a-facelift-1owner-tip-top-condition/6642694,NA,NA,105,NA,153,4384,1699,1466,55
https://www.carlist.my/used-cars/mini-cooper-turbo-s-1-6-a-2008-new-facelift-model-lights-new-model-cooper-s-limited-spec-crystal-red-in-colour-10-air-bags-offer-price-1-datin-owner/6671141,NA,NA,175,NA,240,3713,1684,1407,NA
https://www.carlist.my/used-cars/2010-toyota-vios-1-5-g-sedan/6638712,75,84.7,109,10.5,141,4300,1700,1460,42
https://www.carlist.my/used-cars/2012-bmw-x3-xdrive-20i-a-f25-petrol-twin-power-turbo-ckd-by-bmw-malaysia-0-gst/4735629,84,90.1,184,11.01,270,4648,1881,1675,67
https://www.carlist.my/used-cars/2015-porsche-macan-2-0-local-full-service-record/6593928,NA,NA,237,9.6,350,4681,1923,1624,65
https://www.carlist.my/used-cars/proton-saga-1-3-a-blm-likenew-1-owner-facelift/6667543,NA,NA,95,NA,120,4257,1680,1502,40
https://www.carlist.my/used-cars/2011-mercedes-benz-e200-cgi-1-8-elegance-full-service-record/6674929,82,85,184,9.31,270,4868,1854,1471,80
https://www.carlist.my/used-cars/2016-toyota-camry-2-5l-hybrid-a-well-maintenance/6636238,NA,NA,160,NA,213,4850,1825,1470,65
https://www.carlist.my/used-cars/2010-toyota-corolla-altis-2-0-v-sedan/6392312,NA,NA,145,NA,187,4540,1760,1465,NA
https://www.carlist.my/used-cars/perodua-myvi-1-3-a-g-hatchback-one-owner-service-on-time-100-accident-free-high-loan-tip-top-condition-must-view/6561649,NA,NA,95,NA,121,3895,1735,1515,36
https://www.carlist.my/used-cars/toyota-vios-1-5-a-e-sedan-full-service-record-1-owner-trd-bodykit-push-start-accident-free-high-loan-tip-top-condition-must-view/6586635,72,91.8,107,10,140,4410,1700,1475,42
https://www.carlist.my/used-cars/honda-city-1-5-a-vtec-sedan-one-careful-owner-mugen-bodykit-7-speed-mode-100-accident-free-high-loan-tip-top-condition-must-view/6582508,73,89.4,110,10.1,143,4390,1690,1485,42
https://www.carlist.my/used-cars/mercedes-benz-c240-2-6-a-avantgarde-sedan-one-owner-accident-free-tip-top-condition-must-view/5902820,89.9,68.2,170,10.5,240,4526,1728,1426,62
https://www.carlist.my/used-cars/nissan-almera-1-5-a-vl-nismo-sedan-full-service-record-at-nissan-1-owner-100-accident-free-high-spec-high-loan-tip-top-condition-must-view/6586627,78,78.4,102,10.1,139,4425,1695,1500,41
https://www.carlist.my/used-cars/proton-saga-1-3-a-premium-sedan-one-owner-r3-bodykit-high-spec-100-accident-free-high-loan-tip-top-condition-must-view/6582587,76,73.4,95,10,120,4331,1689,1491,40
https://www.carlist.my/used-cars/toyota-vios-1-5-a-g-sedan-one-owner-trd-bodykit-cd-dvd-navi-leather-seat-100-accident-free-high-loan-tip-top-condition-must-buy/6641964,72,91.8,107,10,140,4410,1700,1475,42
https://www.carlist.my/used-cars/honda-cr-v-2-0-a-i-vtec-suv-one-owner-leather-seat-cd-dvd-navi-accident-free-high-loan-tip-top-condition-100-like-new-car/6653133,81,96.9,155,10.6,190,4545,1820,1685,58
https://www.carlist.my/used-cars/proton-saga-1-3-m-flx-sedan-one-owner-r3-bodykit-full-leather-seat-100-accident-free-high-loan-tip-top-condition-must-view/6534760,76,73.4,95,10,120,4331,1689,1491,40
https://www.carlist.my/used-cars/honda-civic-1-3-a-i-vtec-hybrid-sedan-one-owner-100-accident-free-type-r-bodykit-leather-seat-high-loan-tip-top-condition-must-view/6657144,73,80,95,10.8,123,4540,1750,1430,50
https://www.carlist.my/used-cars/nissan-almera-1-5-a-vl-sedan-one-lady-owner-full-nismo-bodykit-keyless-push-start-accident-free-high-loan-tip-top-condition-must-view/6561698,78,78.4,102,10.1,139,4425,1695,1500,41
https://www.carlist.my/used-cars/perodua-viva-989-a-ez-elite-hatchback-one-lady-owner-service-on-time-100-accident-free-high-loan-tip-top-condition-must-view/6422637,72,81,61,10,90,3575,1475,1530,36
https://www.carlist.my/used-cars/2019-bmw-x3-2-0-xdrive30i-a-g01-turbo-luxury-line-latest-model-ckd-local-by-bmw-malaysia-super-low-mileage-1k-km-like-new/6546601,82,94.6,192,11,280,4439,1821,1612,51
https://www.carlist.my/used-cars/2008-bmw-525i-2-5-m-sport-head-up-display-keyless-entry-rare-unit/6578191,82,78.8,218,NA,250,4841,1846,1468,70
https://www.carlist.my/used-cars/2008-mini-clubman-1-6-cooper-s-wagon-japan-spec-true-years-2008/6570081,77,85.8,175,10.5,240,3958,1683,1432,50
https://www.carlist.my/used-cars/2013-mini-countryman-1-6-cooper-s-all4-original-mileage-80k-km/6570155,NA,NA,184,NA,240,4110,1789,1561,47
https://www.carlist.my/used-cars/2005-smart-fortwo-698-pulse-very-low-mileage-best-smart-car-at-town/4816774,66.5,67,61,9,95,2500,1515,1549,33
https://www.carlist.my/used-cars/2016-mercedes-benz-v220-2-1-cdi-mpv/6565388,83,99,163,16.2,380,5140,1928,1880,NA
https://www.carlist.my/used-cars/2014-mazda-3-2-0-sedan-a-skyactiv-g-new-model-high-spec-cbu-imported-brand-new-by-mazda-bermas-malaysia/6546620,NA,NA,162,14,210,4580,1795,1450,51
https://www.carlist.my/used-cars/2012-audi-q3-2-0-tfsi-a-quattro-turbo-petrol-awd-suv-local-cbu-brand-new-by-audi-malaysia-high-spec/6387279,NA,NA,170,NA,280,4385,1830,1608,NA
https://www.carlist.my/used-cars/2004-2005-volvo-xc90-2-9-t6-suv/6615009,NA,NA,272,NA,380,4798,1898,1784,72
https://www.carlist.my/used-cars/2004-2005-toyota-harrier-2-4-240g-premium-l-suv/6614915,88.5,96,160,9.6,221,4730,1845,1680,75
https://www.carlist.my/used-cars/2014-2015-volkswagen-polo-1-6-comfortline-hatchback/6614903,NA,NA,105,NA,153,3970,1682,1453,45
https://www.carlist.my/used-cars/2014-2015-toyota-hilux-3-0-g-vnt-pickup-truck/6614892,96,103,163,17.9,343,5260,1835,1860,76
https://www.carlist.my/used-cars/2013-2014-nissan-almera-1-5-vl-sedan/6614880,78,78.4,102,10.1,139,4425,1695,1510,41
https://www.carlist.my/used-cars/2010-honda-civic-1-8-s-l-i-vtec-sedan/6543256,81,87.3,140,10.51,174,4540,1755,1435,50
https://www.carlist.my/used-cars/2009-2010-perodua-myvi-1-3-ezi-hatchback/6615065,72,79.7,87,10,116,3750,1665,1550,40
https://www.carlist.my/used-cars/2011-2012-proton-saga-1-3-fl-executive-sedan/6614863,76,73.4,95,10.1,120,4278,1680,1520,40
https://www.carlist.my/used-cars/2009-2010-honda-civic-1-8-s-i-vtec-sedan/6580290,81,87.3,140,10.5,174,4540,1755,1435,50
https://www.carlist.my/used-cars/2010-2011-nissan-murano-3-5-suv/6615053,95.5,81.4,260,10.31,336,4835,1885,1730,82
https://www.carlist.my/used-cars/2012-2013-toyota-hiace-2-5-window-van/6615027,NA,NA,102,NA,260,2930,1545,1565,70
https://www.carlist.my/used-cars/2014-2015-perodua-myvi-1-3-g-hatchback/6615143,72,79.7,91,NA,117,3695,1665,1570,40
https://www.carlist.my/used-cars/2011-porsche-panamera-4-8-s-superb-condition-well-kept-maintain/6681720,NA,NA,405,12.5,500,4970,1931,1418,NA
https://www.carlist.my/used-cars/2011-porsche-panamera-4-8-s-well-maintain/6681661,NA,NA,400,12.5,500,4970,1931,1418,80
https://www.carlist.my/used-cars/2008-toyota-estima-2-4-vvti-a-acr50-g-package-7seater-2-x-power-door-electric-seat-very-rare-in-market-like-this-tiptop-condition/6056437,88.5,96,170,9.8,220,4795,1800,1750,65
https://www.carlist.my/used-cars/2013-volvo-s60-1-6-t4-sedan-p-seat-tiptop-condition/6661048,79,81.4,179,10,240,4628,2097,1484,67
https://www.carlist.my/used-cars/2013-volkswagen-passat-1-8-tsi-ckd-local-p-start-leather-seat-good-maintain-warranty/6497371,NA,NA,160,NA,250,4769,1820,1470,70
https://www.carlist.my/used-cars/2010-volkswagen-passat-2-0-cc-tsi-ckd-local-well-maintain-warranty/6478130,NA,NA,200,NA,280,4799,1855,1417,70
https://www.carlist.my/used-cars/2011-land-rover-range-rover-3-6-vogue-l322-suv-diesel-cbu-local-warranty/6119038,81,88,272,17.3,640,4972,2216,1877,82
https://www.carlist.my/used-cars/2014-honda-accord-a-2-4-i-vtec-vti-l-well-maintained/6659048,87,99.1,175,10.1,225,4870,1850,1465,65
https://www.carlist.my/used-cars/2015-subaru-xv-a-2-0-well-maintained/6659052,NA,NA,150,NA,196,4450,1780,1615,60
https://www.carlist.my/used-cars/2012-mercedes-benz-e250-cgi-a-1-8-avantgarde-best-deal/6659024,82,85,204,9.3,310,4868,2071,1471,80
https://www.carlist.my/used-cars/nissan-almera-1-5-a-e-sedan-nismo-body-kit-face-lift/6521831,78,78.4,102,10.1,139,4425,1695,1500,41
https://www.carlist.my/used-cars/nissan-almera-1-5-a-e-sedan-nismo-body-kit-face-lift/6556322,78,78.4,102,10.1,139,4425,1695,1500,41
https://www.carlist.my/used-cars/perodua-alza-1-5-a-se-mpv-navigation-touch-screen-monitor-android/6312720,72,91.8,103,10,136,4270,1695,1620,42
https://www.carlist.my/used-cars/2008-honda-civic-2-0-s-i-vtec-enhanced-sedan/6550839,86,86,155,9.6,188,4540,1750,1435,50
https://www.carlist.my/used-cars/2003-bmw-320i-2-2-sedan/6550823,80,72,170,10.8,210,4471,1739,1415,63
https://www.carlist.my/used-cars/2007-mini-cooper-1-6-s-hatchback/6661654,NA,NA,175,NA,240,3713,1684,1407,NA
https://www.carlist.my/used-cars/2014-true-toyota-hiace-2-5-m-diesel-service-record-window-van-raya-promotion/6605711,NA,NA,102,NA,260,2930,1545,1565,70
https://www.carlist.my/used-cars/2004-bmw-325i-2-5-a-tip-top-condition/6643416,84,75,192,10.5,245,4471,1739,1415,63
https://www.carlist.my/used-cars/2014-mercedes-benz-e200-2-0-avantgarde-a-tip-top-condition/6643445,NA,NA,184,9.8,300,4879,1854,1474,80
https://www.carlist.my/used-cars/2017-honda-city-1-5-e-i-vtec-a-tip-top-condition/6643442,NA,NA,120,NA,145,4442,1694,1477,40
https://www.carlist.my/used-cars/2017-perodua-myvi-1-5-se-hatchback-a/6641494,72,91.8,103,10,136,3685,1665,1570,40
https://www.carlist.my/used-cars/2015-perodua-myvi-1-5-se-hatchback-a/6641496,72,91.8,103,10,136,3685,1665,1570,40
https://www.carlist.my/used-cars/2013-perodua-myvi-1-5-se-hatchback-a/6641466,72,91.8,103,10,136,3685,1665,1545,40
https://www.carlist.my/used-cars/2016-perodua-myvi-1-5-se-hatchback-a/6641465,72,91.8,103,10,136,3685,1665,1570,40
https://www.carlist.my/used-cars/2007-toyota-vios-1-5-g-sedan-a/6641504,75,84.7,109,10.5,142,4285,1695,1435,45
https://www.carlist.my/used-cars/2010-true-audi-s5-3-0-tfsi-v6-a-with-num-111-brembo-brake-promotion/6414049,NA,NA,333,10.3,440,4713,1854,1382,64
https://www.carlist.my/used-cars/2007-honda-accord-2-0-sedan-a/6636588,86,86,204,9.8,186,4830,1820,1455,65
https://www.carlist.my/used-cars/2005-toyota-camry-2-0-e-sedan-a/6636598,86,86,196,9.8,190,4825,1810,1490,70
https://www.carlist.my/used-cars/2005-toyota-corolla-altis-1-6-sedan-a/6636609,79,81.5,110,10,146,4530,1705,1480,55
https://www.carlist.my/used-cars/2009-mini-cooper-1-6-a-well-maintained/6548115,NA,85.8,120,11.1,160,NA,NA,,NA
https://www.carlist.my/used-cars/2013-hyundai-tucson-2-0-premium-a-well-maintained/6548103,86,86,166,10.5,197,4410,1820,1655,55
https://www.carlist.my/used-cars/2016-perodua-myvi-a-1-5-se-best-deal/6636712,72,91.8,103,10,136,3685,1665,1570,40
https://www.carlist.my/used-cars/2013-honda-civic-a-2-0-s-i-vtec-best-deal/6636142,81,96.9,155,10.61,190,4525,1755,1435,50
https://www.carlist.my/used-cars/2012-bmw-328i-a-2-0-best-deal/6636124,84,90.1,245,10.01,350,4624,1811,1429,60
https://www.carlist.my/used-cars/1999-peugeot-406-2-0-a/5515309,NA,NA,136,NA,190,4598,1765,1412,NA
https://www.carlist.my/used-cars/2003-kia-spectra-1-6-ls-a/5828104,78,83.4,107,NA,143,4525,1725,1425,50
https://www.carlist.my/used-cars/2006-peugeot-206-1-4-a/5245699,75,77,75,NA,120,3835,1652,1428,50
https://www.carlist.my/used-cars/2014-kia-sportage-2-0-a/6243700,NA,NA,166,NA,197,4350,1800,1695,55
https://www.carlist.my/used-cars/2000-proton-iswara-1-3-s-hatchback-m-power-steering-1-owner-lady/6681516,71,82,75,9.5,109,4110,1655,1360,45
https://www.carlist.my/used-cars/2011-kia-forte-1-6-sx-enhanced-a/6093327,NA,NA,124,NA,156,4530,1775,1460,52
https://www.carlist.my/used-cars/2017-toyota-vios-1-5-e-a-facelift/6093334,72,91.8,107,10,140,4410,1700,1475,42
https://www.carlist.my/used-cars/2002-kia-sportage-2-0-a/5245870,86,86,136,9.2,181,4125,1735,1655,60
https://www.carlist.my/used-cars/2012-nissan-livina-x-gear-1-6-a/6243707,78,83.6,105,9.81,150,4275,1730,1615,52
https://www.carlist.my/used-cars/2012-proton-inspira-2-0-premium-cvt-a/6283172,NA,NA,150,NA,197,4570,1760,1490,59
https://www.carlist.my/used-cars/2011-toyota-hilux-2-5-g-a/5959875,92,93.8,102,NA,260,5255,1835,1810,76
https://www.carlist.my/used-cars/2014-perodua-alza-1-5-a/6046494,72,91.8,103,10,136,4230,1695,1620,42
https://www.carlist.my/used-cars/2011-nissan-teana-2-5-premium-a/5245848,85,73.3,182,9.81,228,4850,1795,1480,70
https://www.carlist.my/used-cars/2010-honda-accord-2-4-i-vtec-vti-l-a/6283180,87,99,181,10.51,222,4945,1845,1475,70
https://www.carlist.my/used-cars/2017-perodua-bezza-1-3-advance-a/6383485,72.5,80.5,95,11.5,121,4150,1620,1510,36
https://www.carlist.my/used-cars/2008-toyota-estima-3-5-v6-a/5245672,88.5,96,170,9.8,220,4795,1800,1750,65
https://www.carlist.my/used-cars/2017-perodua-alza-1-5-advance-a/6507641,72,91.8,103,10,136,4270,1695,1620,42
https://www.carlist.my/used-cars/2011-perodua-alza-1-5-ezi-a/6507645,NA,NA,103,NA,136,4205,1695,1620,42
https://www.carlist.my/used-cars/2007-nissan-sentra-1-6-sg-l-a/6345685,76,88,118,9.5,143,4495,1695,1445,50
https://www.carlist.my/used-cars/mercedes-benz-glc200-amg-warranty-2021-2018-9-speed-amg-spec-led-high-performance-full-servicing-record-by-c-c-original-low-mileage-only-28km-only/6605380,NA,NA,186,9.8,300,4656,1890,1639,66
https://www.carlist.my/used-cars/2014-nissan-almera-1-5-vl-a/6603736,78,78.4,102,10.1,139,4425,1695,1510,41
https://www.carlist.my/used-cars/2014-toyota-vios-1-5-trd-sportivo-a/6603738,NA,NA,109,NA,141,4410,1700,1475,42
https://www.carlist.my/used-cars/2015-perodua-myvi-1-5-se-m/6603741,72,91.8,103,10,136,3685,1665,1570,40
https://www.carlist.my/used-cars/2013-volkswagen-golf-1-4-tsi-a/6603733,NA,NA,140,NA,250,4255,1799,1452,50
https://www.carlist.my/used-cars/2017-volkswagen-tiguan-1-4-280-tsi-highline-a/6603731,74.5,80,150,10.5,250,4486,1839,1673,60
https://www.carlist.my/used-cars/2017-proton-ertiga-1-4-vvt-executive-a/6603728,73,82,92,11,130,4265,1695,1685,45
https://www.carlist.my/used-cars/2007-perodua-myvi-1-3-ezi-a/6603705,72,79.7,87,10,116,3720,1665,1550,40
https://www.carlist.my/used-cars/2012-proton-exora-1-6-prime-cfe-premium-a/6603698,NA,86,140,8.9,205,4592,1809,1691,55
https://www.carlist.my/used-cars/2010-proton-saga-1-3-blm-m-line-a/6603707,NA,NA,95,NA,120,4257,1680,1502,40
https://www.carlist.my/used-cars/2013-perodua-myvi-1-3-sxi-m/6603700,72,79.7,91,10.01,117,3690,1665,1545,40
https://www.carlist.my/used-cars/volkswagen-golf-1-6-fsi-a-like-new-facelift-cbu/6358103,81,77.4,139,10.5,148,4206,1759,1580,55
https://www.carlist.my/used-cars/2014-mazda-6-2-5-skyactiv-g-a/6498572,89,100,188,13,250,4865,1840,1450,62
https://www.carlist.my/used-cars/2007-honda-accord-2-4-vti-l-a-facelift/6588188,87,99,170,9.3,218,4830,1820,1455,65
https://www.carlist.my/used-cars/2010-nissan-grand-livina-1-6-comfort-a/6562353,78,83.6,105,9.81,150,4420,1690,1590,52
https://www.carlist.my/used-cars/2012-toyota-prius-c-1-5-hybrid-hatchback-a/6570725,75,84.7,73,13.4,111,3995,1695,1455,36
https://www.carlist.my/used-cars/2020-mercedes-benz-glc250-2-0-4matic-amg-suv-free-service-4-years-under-warranty-2023-9-000km-only-20/6526996,83,92,211,9.8,350,4732,1890,1602,66
https://www.carlist.my/used-cars/2013-perodua-myvi-1-3-ezi-a/6503256,72,79.7,91,10.01,117,3690,1665,1545,40
https://www.carlist.my/used-cars/2019-mercedes-benz-glc250-2-0-4matic-amg-suv-free-service-4-years-under-warranty-2023-9-000km-only/6484194,NA,NA,211,9.8,350,4656,1890,1639,66
https://www.carlist.my/used-cars/2011-perodua-myvi-1-3-ezi-a/6561742,72,79.7,91,10.01,117,3690,1665,1545,40
https://www.carlist.my/used-cars/2012-nissan-grand-livina-1-8-mpv-a/6561736,84,81.1,126,9.91,174,4420,1690,1590,52
https://www.carlist.my/used-cars/2015-honda-jazz-1-5-v-i-vtec-a/6623830,73,89.4,120,10.3,145,3955,1694,1524,40
https://www.carlist.my/used-cars/mercedes-benz-cla200-1-6-amg-brabus-design-edition-limited-unit-in-market-exhaust-worth-rm30k/6655062,NA,NA,156,10.3,250,4630,1777,1432,50
https://www.carlist.my/used-cars/2013-proton-saga-1-3-flx-executive-sedan-high-loan/6480846,76,73.4,95,10,120,4278,1680,1520,40
https://www.carlist.my/used-cars/2012-mercedes-benz-slk200-1-8-cgi-turbo-a-cbu-amg-spec/6457169,NA,NA,184,9.3,270,4134,1810,1301,60
https://www.carlist.my/used-cars/2011-2014-mercedes-benz-slk200-1-8-convertible-a/6626296,NA,NA,184,NA,270,4134,1810,1301,60
https://www.carlist.my/used-cars/2015-honda-hr-v-1-8-i-vtec-e-a/6602345,81,87.3,143,10.6,172,4294,1772,1605,50
https://www.carlist.my/used-cars/2012-toyota-prius-c-1-5-hybrid-a/6612140,75,84.7,73,13.4,111,3995,1695,1455,36
https://www.carlist.my/used-cars/2009-bmw-530i-3-0-e60-a-facelift-high-spec/6615735,85,88,272,NA,315,4841,1846,1468,70
https://www.carlist.my/used-cars/2006-toyota-vios-1-5-g-sedan-car-king-blacklist-can-loan/6444180,75,84.7,109,10.5,142,4285,1695,1435,45
https://www.carlist.my/used-cars/2010-honda-city-1-5-e-i-vtec-sedan/6379058,73,89.4,120,10.41,145,4395,1695,1470,42
https://www.carlist.my/used-cars/2011-toyota-vios-1-5-j-sedan-trd-bodykit-tip-top-condition/6652426,NA,NA,109,NA,141,4300,1700,1460,42
https://www.carlist.my/used-cars/2012-toyota-alphard-2-4-g-240x-facelift-mpv-pilot-seat-3-power-door-3-side-camera-register-2014/6374413,NA,NA,170,NA,224,4870,1830,1890,NA
https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-se-hatchback-leather-seat-tip-top-conditon-high-loan/6647023,72,79.7,87,10,116,3720,1665,1550,40
https://www.carlist.my/used-cars/2010-perodua-myvi-1-3-ez-hatchback-blacklist-can-loan-tip-top-condition/6375168,72,79.7,87,10,116,3750,1665,1550,40
https://www.carlist.my/used-cars/2011-honda-city-1-5-e-i-vtec-sedan-tip-top-condition-high-loan/6376210,73,89.4,120,10.41,145,4395,1695,1470,42
https://www.carlist.my/used-cars/2006-toyota-corolla-altis-1-8-g-a-facelift/6484004,79,91.5,136,10.5,171,4530,1705,1480,55
https://www.carlist.my/used-cars/2013-honda-civic-2-0-s-i-vtec-sedan-high-loan-tip-top-conditon/6374655,81,96.9,155,10.61,190,4525,1755,1435,50
https://www.carlist.my/used-cars/2011-toyota-vios-1-5-j-sedan-mint-condition-high-loan/6383642,NA,NA,109,NA,141,4300,1700,1460,42
https://www.carlist.my/used-cars/2011-honda-city-1-5-e-i-vtec-sedan-tip-top-condition-high-loan-blacklist-can-loan/6375343,73,89.4,120,10.41,145,4395,1695,1470,42
https://www.carlist.my/used-cars/2010-perodua-myvi-1-3-se-hatchback-blacklist-can-loan-reverse-camera/6376158,72,79.7,87,10,116,3720,1665,1550,40
https://www.carlist.my/used-cars/2010-toyota-camry-2-0-g-sedan-leather-seat-tip-top-condition/6658705,86,86,147,9.81,190,4825,1820,1470,70
https://www.carlist.my/used-cars/2011-toyota-avanza-1-5-g-mpv/6560955,72,91.8,109,NA,141,4120,1635,1695,45
https://www.carlist.my/used-cars/2011-hyundai-sonata-2-0-gls-a/6646424,86,86,166,10.51,197,4821,1834,1471,70
https://www.carlist.my/used-cars/2018-mercedes-benz-s450l-3-0-amg-a-demo-car/5875086,NA,NA,367,NA,500,5271,1905,1496,80
https://www.carlist.my/used-cars/2016-toyota-fortuner-2-7-srz-a/6561634,95,95,166,9.6,245,4795,4855,1835,80
https://www.carlist.my/used-cars/2016-toyota-innova-2-0-e-a-high-loan-can-be-arrange/5876021,NA,NA,136,NA,182,4585,1760,1760,55
https://www.carlist.my/used-cars/2006-proton-waja-1-6-sedan-a/6643663,76,87.3,103,NA,140,4465,1740,1420,60
https://www.carlist.my/used-cars/mercedes-benz-s300l-amg-1-year-warranty-new-facelift-2012-full-spec-sunroof-front-and-rear-electric-seats-power-boot-3-dvd-players-one-datin-owner/6523505,88,82.1,314,11.1,300,5209,1872,1473,90
https://www.carlist.my/used-cars/bmw-528i-m-sport-1-year-warranty-3-0-2014-m-sport-steering-full-leather-seats-528i-more-save-petrol-with-powerful-gps-system-one-datin-owner/6508354,84,90.1,245,10,350,4907,1860,1462,70
https://www.carlist.my/used-cars/2015-nissan-almera-1-5-v-a-impul/6552000,78,78.4,102,10.1,139,4425,1695,1500,41
https://www.carlist.my/used-cars/2010-toyota-hilux-2-5-g-a/6659489,92,93.8,102,NA,260,5255,1835,1810,76
https://www.carlist.my/used-cars/2011-2012-toyota-vios-1-5-e-a-facelift/6419988,NA,NA,109,NA,141,4300,1700,1460,42
https://www.carlist.my/used-cars/2002-ford-ranger-2-5-xlt-pickup-truck-turbo-diesel-m-1-owner/6681214,NA,NA,117,NA,280,5128,1750,1750,70
https://www.carlist.my/used-cars/2013-toyota-vios-1-5-j-sedan/6681175,NA,NA,109,NA,141,4410,1700,1475,42
https://www.carlist.my/used-cars/2014-toyota-vios-1-5-g-sedan-like-new/6422170,NA,NA,109,NA,141,4410,1700,1475,42
https://www.carlist.my/used-cars/2013-honda-accord-2-0-i-vtec-vti-l-sedan-cny-promo/6480191,81,96.9,155,10.6,190,4870,1850,1465,65
https://www.carlist.my/used-cars/2013-volkswagen-passat-1-8-tsi-sedan-premium-high-spec-one-owner-tiptop-condition/6681272,NA,NA,160,NA,250,4769,1820,1470,70
https://www.carlist.my/used-cars/2015-honda-jazz-1-5-v-i-vtec-hybrid-premium-full-spec-warranty-full-service-record-tiptop/6681280,73,89.4,120,10.3,145,3955,1694,1524,40
https://www.carlist.my/used-cars/2014-proton-exora-1-6-prime-cfe-premium-mpvhigh-spec-tiptop-condition-like-new-car-mpvs/6681296,NA,86,140,8.9,205,4592,1809,1691,55
https://www.carlist.my/used-cars/2014-bmw-316i-1-6-sedan/6172932,77,85.8,136,10.5,220,4624,1811,1429,60
https://www.carlist.my/used-cars/2007-proton-satria-1-6-neo-h-line-hatchback/6552282,NA,NA,111,NA,148,3905,1710,1420,50
https://www.carlist.my/used-cars/2005-honda-accord-2-4-vti-l-sedan/6681182,87,99,160,9.3,218,4830,1820,1455,65
https://www.carlist.my/used-cars/2001-bmw-325i-2-5-sedan-m-sport-e46/6523713,84,75,192,10.5,245,4471,1739,1415,63
https://www.carlist.my/used-cars/2004-nissan-x-trail-2-0-luxury-suv/6681155,89,80.3,150,9.9,200,4510,1765,1675,60
https://www.carlist.my/used-cars/2016-honda-hr-v-1-8-i-vtec-v-day-light-leather-seat-under-warranty/6674975,81,87.3,143,10.6,172,4294,1772,1605,50
https://www.carlist.my/used-cars/2012-chery-eastar-2-0-sunroof-mpv-new-paint-high-loan/6652509,NA,NA,136,NA,180,4662,1820,1590,62
https://www.carlist.my/used-cars/2011-perodua-myvi-1-3-ezi-auto-leather-seat-new-paint-blaklisted-dp2k/6410655,72,79.7,91,10.01,117,3690,1665,1545,40
https://www.carlist.my/used-cars/bmw-x5-panaromic-roof-2009-full-spec-model-full-leather-seats-beige-in-colour-electronic-memory-seats-3-dvd-players-m-sport-steering-one-dato-owner/6580016,85,88,272,10.7,315,4854,1933,1766,85
