make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
Proton,6399957,Satria,2010,127500,Automatic,15800.0,1597,5,Black,126.0,150.0,50.0,9754.08234
Nissan,6443831,Grand Livina,2011,92500,Automatic,34800.0,1598,7,Grey,105.0,150.0,52.0,11876.982
BMW,6293703,320i,2007,105000,Automatic,29999.0,1995,5,Grey,150.0,200.0,60.0,11670.44564
Mercedes-Benz,6329724,E500,2005,54000,Automatic,78888.0,4966,5,Blue,306.0,460.0,55.0,13219.7032
Mercedes-Benz,6380985,C200K,2008,142500,Automatic,49999.0,1796,5,Silver,184.0,250.0,66.0,11708.48628
Mercedes-Benz,6380987,E240,2005,127500,Automatic,29999.0,2597,5,White,177.0,240.0,65.0,12746.230992
Proton,6288491,Persona,2010,297500,Automatic,12800.0,1597,5,Unknown,111.0,148.0,55.0,11105.42235
Nissan,6688382,Serena,2005,162500,Automatic,27800.0,1998,7,Grey,131.0,172.0,60.0,13982.055
Suzuki,6688363,Swift,2011,92500,Automatic,26800.0,1490,5,Blue,101.0,133.0,43.0,10553.2895
Toyota,6643572,Alphard,2008,97500,Automatic,76800.0,2362,7,Black,159.0,220.0,70.0,16904.547
Nissan,6643575,Grand Livina,2010,122500,Automatic,31800.0,1598,7,White,105.0,150.0,52.0,11876.982
Toyota,6542222,Estima,2008,82500,Automatic,72800.0,2362,7,Silver,170.0,220.0,65.0,15104.25
Toyota,6542226,Estima,2008,92500,Automatic,72800.0,2362,7,Silver,170.0,220.0,65.0,15104.25
Mercedes-Benz,6686430,C200,2019,2500,Automatic,225888.0,1497,5,Black,184.0,280.0,66.0,12230.55372
Honda,6560826,Accord,2009,127500,Automatic,36900.0,2354,5,Grey,181.0,222.0,70.0,13457.199375
Toyota,6550641,Land Cruiser,2012,92500,Automatic,183000.0,4608,8,White,318.0,460.0,55.0,18235.305
Perodua,6400231,Myvi,2015,62500,Automatic,34900.0,1495,5,Orange,103.0,136.0,40.0,9632.77425
Perodua,6347556,Myvi,2013,82500,Automatic,29900.0,1495,5,Yellow,103.0,136.0,40.0,9479.386125
Perodua,6173612,Myvi,2015,67500,Manual,24900.0,1298,5,Bronze,91.0,117.0,40.0,9658.91475
BMW,6579014,320i,2007,182500,Automatic,28900.0,1995,5,Grey,150.0,200.0,60.0,11670.44564
Proton,6066157,Saga,2012,117500,Automatic,14900.0,1332,5,Bronze,95.0,120.0,40.0,10924.3008
